,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity_1h_ocean,ocean_proximity_inland,ocean_proximity_island,ocean_proximity_near_bay,ocean_proximity_near_ocean
0,0.6196196196196198,0.14984059511158376,0.6470588235294117,0.04367400925878821,0.04314090626939789,0.02132502276069753,0.04127610590363427,0.4310423304506145,1.0,0.0,0.0,0.0,0.0
1,0.38738738738738654,0.25398512221041436,0.1764705882352941,0.07564735208831459,0.09062693978895096,0.055501085510189785,0.09225456339417859,0.192073212783272,1.0,0.0,0.0,0.0,0.0
2,0.1951951951951969,0.5727948990435703,0.7450980392156862,0.0507707178104492,0.0644009931719429,0.040549058057286924,0.06479197500411117,0.08453676501013781,0.0,1.0,0.0,0.0,0.0
3,0.5865865865865878,0.1859723698193414,0.6078431372549019,0.03189703413542249,0.059124767225325885,0.04993346873030324,0.05607630323959875,0.10542613205335101,1.0,0.0,0.0,0.0,0.0
4,0.25025025025025016,0.5069075451647187,0.39215686274509803,0.0667446711095284,0.06905648665425201,0.06236431122627635,0.06380529518171353,0.3140922194176632,1.0,0.0,0.0,0.0,0.0
5,0.5275275275275284,0.3761955366631242,0.35294117647058826,0.06270031032202268,0.06672873991309745,0.036136984382659845,0.0698898207531656,0.18965945297306247,0.0,0.0,1.0,0.0,0.0
6,0.31631631631631585,0.5972369819341123,0.25490196078431376,0.06575265808617795,0.07697082557417753,0.0477274318929897,0.07860549251767801,0.21223845188342233,0.0,0.0,1.0,0.0,0.0
7,0.6526526526526535,0.14027630180658868,0.29411764705882354,0.11151243831713892,0.10226567349472378,0.07486518663771972,0.1039302746258839,0.38968428021682466,1.0,0.0,0.0,0.0,0.0
8,0.45945945945946143,0.198724760892667,0.588235294117647,0.026148445846263416,0.04934823091247672,0.03463127670004902,0.050485117579345505,0.14854277872029353,0.0,0.0,0.0,1.0,0.0
9,0.5915915915915928,0.14027630180658868,0.45098039215686275,0.06053823065574604,0.09016139044072005,0.04005882764899503,0.09324124321657622,0.3032509896415222,1.0,0.0,0.0,0.0,0.0
10,0.27027027027027195,0.766206163655685,0.35294117647058826,0.07330721880246222,0.09155803848541279,0.03417606274949227,0.08189442525900345,0.1018399746210397,0.0,0.0,1.0,0.0,0.0
11,0.7157157157157155,0.03825717321997901,0.21568627450980393,0.04260568754133387,0.058969584109248914,0.036487148960011206,0.05936523598092419,0.25523096233155407,1.0,0.0,0.0,0.0,0.0
12,0.3083083083083089,0.6556854410201911,0.43137254901960786,0.04672635702294348,0.04220980757293606,0.028363330765459764,0.0452228251932248,0.2737617412173625,0.0,0.0,1.0,0.0,0.0
13,0.5775775775775784,0.1795961742826777,0.6078431372549019,0.10258432110698477,0.1525450031036623,0.09338889277960641,0.15457983884229567,0.17463207404035808,1.0,0.0,0.0,0.0,0.0
14,0.22022022022022192,0.5441020191285864,0.6666666666666666,0.017296637330213156,0.021880819366852888,0.016527768050983962,0.024338102285808256,0.23276230672680376,0.0,1.0,0.0,0.0,0.0
